Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:       5    0,99    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   98,02
Average:       6   15,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   83,00
Average:       7    4,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
Average:       8    3,06    0,00    5,10    0,00    0,00    0,00    0,00    0,00    0,00   91,84
Average:       9    3,03    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   94,95
Average:      10    2,02    0,00    2,02    1,01    0,00    0,00    0,00    0,00    0,00   94,95
Average:      11    3,03    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   91,92
Average:      12    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:      13    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:      14    0,00    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   98,99
Average:      15    1,01    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   97,98
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:40:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:05     all    4,74    0,00    1,90    0,19    0,00    0,06    0,00    0,00    0,00   93,11
10:40:05       0    5,10    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   92,86
10:40:05       1    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:40:05       2   12,24    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   84,69
10:40:05       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:40:05       4    5,21    0,00    2,08    0,00    0,00    0,00    0,00    0,00    0,00   92,71
10:40:05       5   13,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   87,00
10:40:05       6    9,28    0,00    2,06    1,03    0,00    0,00    0,00    0,00    0,00   87,63
10:40:05       7    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
10:40:05       8    7,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
10:40:05       9    2,02    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   94,95
10:40:05      10    4,04    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   94,95
10:40:05      11    6,06    0,00    9,09    0,00    0,00    0,00    0,00    0,00    0,00   84,85
10:40:05      12    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:40:05      13    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:40:05      14    1,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
10:40:05      15    1,01    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   96,97

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    4,74    0,00    1,90    0,19    0,00    0,06    0,00    0,00    0,00   93,11
Average:       0    5,10    0,00    2,04    0,00    0,00    0,00    0,00    0,00    0,00   92,86
Average:       1    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
